"id","avgSpeed","standardD","avgX","avgY","avgZ","gForce","barometer","transport","activityType","transitionType","lat","long","time","lat2","long2","prediction"
"115","3.0962629318237305","0.4297594445606424","-0.10849695652723312","4.308098316192627","8.819670677185059","1.0252342224121094","995.9992065429688","walking","WALKING","ENTER","55.9312277","-3.1437195","07:52:28","0","0","null"
"116","2.73987078666687","0.12525807355086047","-0.33684825897216797","4.400845527648926","8.712661743164062","1.0196614265441895","996.0384521484375","walking","WALKING","ENTER","55.9312591","-3.1435032","07:52:38","0","0","null"
"117","2.722853422164917","0.09719029549133355","0.17063455283641815","3.8185312747955322","8.277393341064453","1.046377420425415","996.0482788085938","walking","WALKING","ENTER","55.9313272","-3.1433211","07:52:48","0","0","null"
"118","3.0743985176086426","0.272424921894706","2.2218210697174072","1.739408254623413","5.87704610824585","1.1022588014602661","996.142822265625","walking","WALKING","ENTER","55.9314543","-3.1431859","07:52:58","0","0","null"
"119","3.0080480575561523","0.2657697659274431","2.5149643421173096","1.2670037746429443","5.597823619842529","1.0832061767578125","996.1668090820312","walking","WALKING","ENTER","55.9314883","-3.142947","07:53:08","0","0","null"
"120","3.2506229877471924","0.23670114667582878","3.346496820449829","-0.07093846797943115","3.9374136924743652","1.176534652709961","996.2250366210938","walking","WALKING","ENTER","55.9317306","-3.1429589","07:53:18","0","0","null"
"121","3.4236855506896973","0.16889675191173023","3.9631190299987793","-0.9951850771903992","2.7111947536468506","1.2129336595535278","996.2390747070312","walking","WALKING","ENTER","55.9318705","-3.143051","07:53:28","0","0","null"
"122","3.2846295833587646","0.3372101914399014","4.436835765838623","-1.719962239265442","1.857442855834961","1.204781174659729","996.3057250976562","walking","WALKING","ENTER","55.9319965","-3.1429218","07:53:38","0","0","null"
"123","3.3119051456451416","0.03871171176986212","4.776708126068115","-2.2784035205841064","1.1667317152023315","1.1929786205291748","996.3858032226562","walking","WALKING","ENTER","55.9320959","-3.1428299","07:53:48","0","0","null"
"124","3.34021258354187","0.08719609759764227","5.043902397155762","-2.794585943222046","0.6637507081031799","1.2173385620117188","996.4714965820312","walking","WALKING","ENTER","55.9322489","-3.142712","07:53:58","0","0","null"
"125","3.4898762702941895","0.6957180283693278","4.810781478881836","-2.6120848655700684","1.0082639455795288","1.0863971710205078","996.5042724609375","walking","WALKING","ENTER","55.9322919","-3.1424993","07:54:08","0","0","null"
"126","2.8036460876464844","0.07026672007538264","4.570235729217529","-2.3954312801361084","1.4782932996749878","1.0579233169555664","996.4755249023438","walking","WALKING","ENTER","55.9322821","-3.1422907","07:54:18","0","0","null"
"127","0.219964861869812","0.04257952805770687","4.146391868591309","-1.8530724048614502","2.247535228729248","1.0079426765441895","996.3803100585938","still","WALKING","ENTER","55.932359","-3.1421645","07:54:38","0","0","null"
"128","0.03645756095647812","0.00023930717168132225","3.86244797706604","-1.456565499305725","2.696059226989746","1.0112836360931396","996.4388427734375","still","WALKING","ENTER","55.9323654","-3.1421679","07:54:48","0","0","null"
"129","0.31873202323913574","0.01920254672348425","3.597144603729248","-1.1130578517913818","3.088256597518921","1.007959008216858","996.3829956054688","still","WALKING","ENTER","55.9323696","-3.1421463","07:54:58","0","0","null"
"130","0.04988452047109604","0.00026299896889920253","3.346940279006958","-0.7915814518928528","3.4225969314575195","1.0090879201889038","996.3870849609375","still","WALKING","ENTER","55.9323644","-3.1421547","07:55:08","0","0","null"
"131","0.906934380531311","0.16462883559089284","3.089543104171753","-0.5382167100906372","3.726083755493164","1.0090510845184326","996.4188232421875","still","WALKING","ENTER","55.9323809","-3.1421466","07:55:18","0","0","null"
"132","0.050037674605846405","0.06553548114383574","2.919174909591675","-0.31153446435928345","4.009519577026367","1.006837010383606","996.4395141601562","still","WALKING","ENTER","55.9323751","-3.1421597","07:55:28","0","0","null"
